User,First_Day,Last_Day,Total_Inc,Total_Locks,Days_of_Cycle,,,,
cwilso37,2018-06-26T00:00:00.000-05:00,2018-06-27T00:00:00.000-05:00,18,10,1,,,,
cyadav15,2018-06-26T00:00:00.000-05:00,2018-06-26T00:00:00.000-05:00,7,10,0,,,,
cyang100,2018-06-26T00:00:00.000-05:00,2018-06-26T00:00:00.000-05:00,16,4,0,,,,
cyates3,2018-06-25T00:00:00.000-05:00,2018-06-25T00:00:00.000-05:00,8,3,0,,,,
dandrad2,2018-06-18T00:00:00.000-05:00,2018-06-18T00:00:00.000-05:00,8,6,0,,,,
dboles12,2018-06-26T00:00:00.000-05:00,2018-06-27T00:00:00.000-05:00,38,10,1,,,,
dbrook25,2018-06-22T00:00:00.000-05:00,2018-06-22T00:00:00.000-05:00,7,3,0,,,,
dday3,2018-06-04T00:00:00.000-05:00,2018-06-05T00:00:00.000-05:00,12,6,1,,,,
dkreuter,2018-06-20T00:00:00.000-05:00,2018-06-20T00:00:00.000-05:00,5,8,0,,,,
dkumar97,2018-06-14T00:00:00.000-05:00,2018-06-14T00:00:00.000-05:00,6,3,0,,,,
dkumar97,2018-06-20T00:00:00.000-05:00,2018-06-20T00:00:00.000-05:00,9,3,0,,,,
dkumar97,2018-06-27T00:00:00.000-05:00,2018-06-27T00:00:00.000-05:00,6,3,0,,,,
dmack20,2018-06-26T00:00:00.000-05:00,2018-06-26T00:00:00.000-05:00,6,6,0,,,,
dmarke3,2018-06-18T00:00:00.000-05:00,2018-06-18T00:00:00.000-05:00,5,12,0,,,,
dmarqu5,2018-06-06T00:00:00.000-05:00,2018-06-06T00:00:00.000-05:00,7,7,0,,,,
dmccaul2,2018-06-27T00:00:00.000-05:00,2018-06-27T00:00:00.000-05:00,6,3,0,,,,
dmunoz7,2018-06-18T00:00:00.000-05:00,2018-06-18T00:00:00.000-05:00,7,7,0,,,,
dobrien6,2018-06-26T00:00:00.000-05:00,2018-06-26T00:00:00.000-05:00,11,3,0,,,,
dredden2,2018-06-19T00:00:00.000-05:00,2018-06-19T00:00:00.000-05:00,9,11,0,,,,
dreece3,2018-06-26T00:00:00.000-05:00,2018-06-26T00:00:00.000-05:00,5,3,0,,,,
dremigio,2018-06-27T00:00:00.000-05:00,2018-06-27T00:00:00.000-05:00,19,21,0,,,,
drober33,2018-06-25T00:00:00.000-05:00,2018-06-29T00:00:00.000-05:00,42,70,4,,,,
dsoni,2018-06-21T00:00:00.000-05:00,2018-06-21T00:00:00.000-05:00,6,11,0,,,,
dthorson,2018-06-26T00:00:00.000-05:00,2018-06-26T00:00:00.000-05:00,15,11,0,,,,
dtrimarc,2018-06-02T00:00:00.000-05:00,2018-06-02T00:00:00.000-05:00,14,6,0,,,,
dtrimarc,2018-06-04T00:00:00.000-05:00,2018-06-05T00:00:00.000-05:00,21,12,1,,,,
eabbott,2018-06-05T00:00:00.000-05:00,2018-06-06T00:00:00.000-05:00,12,4,1,,,,
ebarro9,2018-06-27T00:00:00.000-05:00,2018-06-27T00:00:00.000-05:00,5,6,0,,,,
eblackw3,2018-06-21T00:00:00.000-05:00,2018-06-21T00:00:00.000-05:00,5,7,0,,,,
eboyer10,2018-06-26T00:00:00.000-05:00,2018-06-26T00:00:00.000-05:00,8,6,0,,,,
ebroxte2,2018-06-25T00:00:00.000-05:00,2018-06-25T00:00:00.000-05:00,6,3,0,,,,
